ssn,username,password,dorm_id,email,phone
$2b$12$NHfdkFXj1zI9bruafVWBruBp/xAB/XuY6lSZmTw.oeXOKK5O0sq/e,angelica15,$2b$12$94wz8ksYkbECd4Mkcf5y6OVhQxIzkG1u7xtNygdKpMZnzrJTraw.S,DORM-155227558,lynn16@example.org,09908080643
$2b$12$MaC8OkZl3V4Bqs8jLsiNBeyMJ0ShFbEilaJPTFbTXMFlfE8Fh6RZK,ccole,$2b$12$MyC1zp1DnJTzsoo5X.thh.4YhKE7BIRbJePvb5N3WwznKbqxOhlum,DORM-207160972,duncankaren@example.com,09709045049
$2b$12$jT4xGZV/VsIiY7.HVDkr6u4BovA5M00aa1XFu6/WM6bsxl6vuhlYe,kennethfoster,$2b$12$vMcc0ookM01NieiUyxkZw.Zn3TyjtHaGSuRUbK2st.sWgtf3qBuaa,DORM-833506854,guerreromartin@example.com,09338879180
$2b$12$AW8lwdEr6HTHjMtlBZltheCkCnZPcSX1X5qvTKTei1hlam5N2xwg.,wcohen,$2b$12$aJwXOUJGGUPw0sMNkl3p7u/3addp/WEYb1DhZecxvHySGy9d3BM0G,DORM-25869159,cynthiahaney@example.net,09651540778
$2b$12$StHh4sxrYI25SG5FVDHzeexGzTN3PaYXlTUyfJrXKmztXUGB2o3s.,amandajones,$2b$12$Z6NPw3STiY0Y2E/3mSkuOO45DkcIA5dIS.7DZspqKNTOnmH0JX97e,DORM-814210064,april96@example.org,09960687353
$2b$12$1cgVX9Feb4WHWAo8ChbxVupec/9prsJUVgUPjBKWlBDvxOrymkbCW,pvillanueva,$2b$12$2WlDMed/LugEGvprqm9GDOAt1Fox8Ol9DZKqwcZe0mA3Zt1I3zDs.,DORM-10107597,kellymontgomery@example.net,09960645616
$2b$12$igYVqe33sopKHKegtpibcOr7uThmaO9ZnWEsdWaXH59FB9UPoLNdq,amanda98,$2b$12$ETDr1NnmPOP4VnkGiXABkuaNCVL5WXcRd3vK2enmdQTT8qMg8.tJe,DORM-463570947,danielle98@example.org,09763411398
$2b$12$5GRcaGJCtD0Jtoq1Lytx5OH0dgbOKp5P/eOuLq0ebCMcrw.Ox9pDe,ginamorris,$2b$12$0T2ZWRhrJeMjFLCgqCYIC.jZ9xsYBJkvjd3z5WlOgugifI5vDYY7q,DORM-146099711,benjamin02@example.org,09570207524
$2b$12$A1Vv/7dsQWnq1kb0/0UXt.wtQJ/cxjG.bt9u8OwDz9AsMwSPMfbW2,linda81,$2b$12$5ZIXMXO4IT1LCu1F/vj3I.zSHPIUDoDgTvb6/HPt.0OkljlRBjT5u,DORM-367405295,joy92@example.com,09762082442
$2b$12$j6kRT2yKtrwyxz1o6OvIpO.cv4GKvLScTtQxSjqFclaQGgSemJl8q,cholmes,$2b$12$2ty7mJqWJkWNrUQtHX.kEuzcSUXLh9Gk9gHc9pK7KJlMaiI2oknGK,DORM-94824429,isabel51@example.org,09890205975
