bId,dormId,ssn,roomNumber
BED001,DORM02,$2b$12$KUlIA63Imuyfb6kHBXyMIO.cV2OdJfdxCmdxli8vzSDrr8jF.8oze,RM002
BED002,DORM03,$2b$12$rF/FutgtHaZHVlGIZneez.PY4VGKeFlB5ave6KCPeuUGfofXuZNEm,RM003
BED003,DORM04,$2b$12$kXkvNQ9Rdr98swJs83pLT.UrRv3RtsEB80TROtXv3D3OCjqrfhq2W,RM004
BED004,DORM05,$2b$12$F0fngjrcFuu2XBxi0wqgXOwah/YhvZq7F9QCjFmaJmjM5OcCxrcJe,RM005
BED005,DORM06,$2b$12$/bBh54/Xz9wTweYZ85YSm.P9xIdOCYysdvV3ePcgW8XRlmV7g0r8y,RM006
BED006,DORM07,$2b$12$bs.OS4urPNSMTq1Y4sqZ4uocDxsKjxf1SKksTQeYpbOqc0Ni6zC0e,RM007
BED007,DORM08,$2b$12$0PKYg.IgDRrNzP5N3JTFvOl3.zJ1i7XYNDLo9WrUKfaUJiL.89Qqq,RM008
BED008,DORM09,$2b$12$By5AuAeZSIk6rhZuipOHy.4VKipPxVdTqIqgMiLpFL3v5OhDKcQsG,RM009
BED009,DORM10,$2b$12$qEt2X/ATQ4NUk/qRFsWSQeQv.PO5XDhgDXrmXr1MP59ES9TN7Cln.,RM010
BED010,DORM01,$2b$12$rx9fPuzcBHkK.XjCdr7Wfe3N.wnwTnR3xNfEVriWLcfWiV2J8VK2e,RM011
BED011,DORM02,$2b$12$kpB31zrGSynmZwP7GEr60.Vc9veW18.s5XdKs0NH6ixCJM5sFZNTy,RM012
BED012,DORM03,$2b$12$sAQlIcWrUYgXs1gLRlMR2em.OnQN261kvCPducAecjF1Ogl4cYn3.,RM013
BED013,DORM04,$2b$12$HFbqgVbD02pkWmOLuPSLGuj8.84lCO83lhm3xnwnRkzp9uALXhUGy,RM014
BED014,DORM05,$2b$12$TRGkIm8IlgIERJBzJ1T2U.sWWs/pGvUIZ9qyKn3Rmha6eTw3v3OwG,RM015
BED015,DORM06,$2b$12$9jrYS1nHHLQpn0DgXA7TVOK1CR5mJVPfMq8yvp77fy9Oh9fR5htxC,RM016
BED016,DORM07,$2b$12$NCHkUxFBow.JaMTILzmZe.ZTq28hEyLr1chCnn18cYHPfsuX2VJlS,RM017
BED017,DORM08,$2b$12$Ok0.CXgDL4JvWino1wnOs.4HZXzBrgdGuBLIXWKmBMw.4BvdEh.1m,RM018
BED018,DORM09,$2b$12$9dzGdrj.uEH7EMDlrsZzH.IHI/WyuZACyhScSmD3fV32SOM9ZmY2K,RM019
BED019,DORM10,$2b$12$FcMFGj0ZMaYnNSjEW8vrf.YDix1yKc725QPxGx8HWhmYYNuyI/k1i,RM020
BED020,DORM01,$2b$12$8/346NcmMkNgtYPa/8ACm.DsMt7YqLpnpPhtnDVgRdpZx7MXbQyPK,RM021
BED021,DORM02,$2b$12$F.hAUb4lJ2az25R4W15lAeLRkrFaYV21VcDuaP7aHRfZB.Ap57Ym2,RM022
BED022,DORM03,$2b$12$pI5l5oO3/Cz1PnMjdjMNfuETpDpRUPF4U1gRrJndqZVH60IQPkCvm,RM023
BED023,DORM04,$2b$12$6lJV0EgAcieT/UCcgIrG2.cTPjLZc5pLSMrYzzZugQkUcMJmRE/cG,RM024
BED024,DORM05,$2b$12$9.22xYkt42Bz6BgSL4llh.k0snZQGq3KElz882oUsmaNmayPqI7QK,RM025
BED025,DORM06,$2b$12$Zs6PXxmpX0zahCOg9EH2hexvGVUjtosqKAbSsA7KTIrHjPjd9cx7i,RM026
BED026,DORM07,$2b$12$GGJUQIQNfNAbUmdVVnDOhepTaT/rZzPde/YAzH9U7w9o.pvD00pHe,RM027
BED027,DORM08,$2b$12$8ljQNxdydWF2rY/3wJ0eWudlhjIGhoNB8NrH48j1k8/D8G7JWuqDW,RM028
BED028,DORM09,$2b$12$eswmg2klvoztvJem4BkOOekWM8eVeRkKzOJlmYeZxbdQ5QubFFd8.,RM029
BED029,DORM10,$2b$12$KUmJxnV1GHboFXMnDbeB5.9MZW73DsNl6OWBVKOpQ9Oyto.3JZUjC,RM030
BED030,DORM01,$2b$12$OAP3nNC7htDG8z0F1hgGBueruDRBxGmkL7X1cU5AhfmfQdx0/Eu1G,RM031
BED031,DORM02,$2b$12$/uZV0q/6WBwBonWZU9///.4p8QXcHtK9XH2mrOybNmdvWSurzZoca,RM032
BED032,DORM03,$2b$12$qsBlciuTatF23HZhwa2NueNFPp7r01mBowErQ6jZPRBNarPESrgrO,RM033
BED033,DORM04,$2b$12$pknOlVHvgih.maxWOMKV0.1vmwLtcUmTpXc8FM3UWu2TdNTcV6e8i,RM034
BED034,DORM05,$2b$12$RDzEtDC0wG3j/sm0BcgI6Orzzbze5OqqzfAUk9mtT6QffKJuk926a,RM035
BED035,DORM06,$2b$12$IHo.5itn6snz3Y3TAGte6u/XaFIKyRQjVKzKuQtUD610gW25qW.p.,RM036
BED036,DORM07,$2b$12$PgDjNBzBthyFAfHnjWk60OYH4UtG5xGV7siGNQrrbN36kfWuMJTDO,RM037
BED037,DORM08,$2b$12$yoKDx/gUXdQBn8p.l/fyP./QmerBzycMb.XKGD55UXeXbsp/KOvRK,RM038
BED038,DORM09,$2b$12$IUN8jyl1YyEPvVMtzwngf.bVPvWthxGXiTUsDbSS9/IbnqGZbbtYC,RM039
BED039,DORM10,$2b$12$UhGSv8HHHuRMKfh8MJE8UuZm.n7MX/5uc2gQk537nogFk53.kXKlu,RM040
BED040,DORM01,$2b$12$UEEuDwTvwIn9YkU3C5F54ukS/cnp8YNc/QMVSVIbiVcpy6oos14q2,RM041
BED041,DORM02,$2b$12$s4UIaB7PtUVWYq.nQ/STiuNFBiRtY2G6NZTlCfE4dhiOgy4ZuPLcG,RM042
BED042,DORM03,$2b$12$v4G6NfLTHQ0F0MDPEA/sFusV8lQNOuAbhliyjKOO.PR/k2yXDxfSy,RM043
BED043,DORM04,$2b$12$rKwQEv/bPgxmXwvYJQAx/OeTlgtMTPiwMqc7PxBH1g3wxDcS8Ybou,RM044
BED044,DORM05,$2b$12$gQWZV3jMQbMmH/oSNtJ9Oul87MI3cPgQZ8kojpfB9AOeBZ7MosyIW,RM045
BED045,DORM06,$2b$12$hLN2fVjwSWfT8GIw/U5dPOYhpD9qHPgXdJ5b8IILricEQ4qYS4F7m,RM046
BED046,DORM07,$2b$12$maslxGZBQ4.wzW/XejK0hO0jmrQpLvDuablSyVLbEaM8ab0lSlGsW,RM047
BED047,DORM08,$2b$12$sex8Q82J0ehqfRUrPH1rvOBQGRXrf6zy.9agFd7mgpCdDmTrm4Xai,RM048
BED048,DORM09,$2b$12$GXelHTTX1BQSyzfsJoOZyO0LPEtcqc1nJjqipFlZfzR41wcS7Vnu2,RM049
BED049,DORM10,$2b$12$Ji5SkeRAzwQVMcAIuBzsbOT3M3dnAW0CIMC/yXq0TbBjS.f1EBHFy,RM050
BED050,DORM01,$2b$12$u70epmHR5uBuxiUX5TygQugsyI.9JsapToSrch0yhE2f4/82rKnta,RM001
BED051,DORM02,$2b$12$F8QOdVG4pzwWAF9XD3huzOBzjfV8fSACeBkXsMqjyLzzZK1j2mHK6,RM002
BED052,DORM03,$2b$12$tvvz6gNC/rdcNhXK0.I.lexrKdfpZkiVl0vP/SROWI8BqcmXbRfQm,RM003
BED053,DORM04,$2b$12$3lp3MDqU9vmSNOeUz6znlujX/ZDFNHIfwL7T8Zl4zNC9C2h0aHis.,RM004
BED054,DORM05,$2b$12$YxRjLtjPXdOj0PC1tbXbL.xOrOUKjao2u2Rx5n8eOtLQVuk4xMK8m,RM005
BED055,DORM06,$2b$12$172WLgkh9JDGpzIpUYSOEu5ar3p33KTFo.feJntGuuKEFn4ucK.Ta,RM006
BED056,DORM07,$2b$12$B6SQuYRO4OOaG0yWbkJXoOLwO3mAq.OGiBSv9gbQGS3WL1v0bWRWG,RM007
BED057,DORM08,$2b$12$ut40iMy8jy/LJY9513vy8edPzBKP0rtkNvuZnAYcgCrT8aKR9EvRu,RM008
BED058,DORM09,$2b$12$GCaRArvpz1rCEtxsUqMR6ubjQq6U8jVN..TL2KMNqio70BmzidjYy,RM009
BED059,DORM10,$2b$12$6MZQFhp0CwXoUSNoboOsQ.qNylcriZh4CIZKpU6aWYVFbi0I.WwdG,RM010
BED060,DORM01,$2b$12$m.5QJAWP4UVD7CWgJvSD.emzLF3k8O5mMxJV5aHew1T642zK8IeGa,RM011
BED061,DORM02,$2b$12$regUoqBeWcxMApLjrdko4O6rDaj8WBgXibzsorMnb5orf/hYGiak6,RM012
BED062,DORM03,$2b$12$2QTeZikivN7jVP1QbeJO8.UEIyU/c94l2BKCmD4aL5XfDcTuw30pK,RM013
BED063,DORM04,$2b$12$jQegJh0O8DjAw4VNGSjfM.WjxrX.CnHTsYFE/cf.IoJsLsbjnFoGG,RM014
BED064,DORM05,$2b$12$lBhsWK8q0rAQhQsE5.49OeXMB6STOfPLSOQJ8Z2UaHvm2EEJlyeMW,RM015
BED065,DORM06,$2b$12$coZjiKX6JLWCKfcxl12q3uVPNbzmujogaUqxpkpzh.c3TIlFmZumG,RM016
BED066,DORM07,$2b$12$Io8MqQNgCpBGOT0Mded6uektkEa5UBc9GxpQ/Q/Fi4lJQzY69HoOS,RM017
BED067,DORM08,$2b$12$zL0oBCNehonY13B561V0OuqoKfHeQCDX/uuriE0VNDmx1xprN1QJK,RM018
BED068,DORM09,$2b$12$LGME8l30HCzFe4cwRWALY.lQX7dkJ..B9sQOx6AQr/pgaLEYyDe26,RM019
BED069,DORM10,$2b$12$l2QRU3nyzzbfLEXaWk.y6ulqZiBJYS8FaSbrVT/mncNT1PsxpeGx2,RM020
