ssn,fId,isCancelled,bookTime
SSN001,1,True,2024-04-14
SSN002,2,False,2024-02-08
SSN003,3,True,2024-02-28
SSN004,4,True,2024-10-23
SSN005,5,True,2024-06-06
SSN006,6,False,2023-05-13
SSN007,7,False,2024-12-30
SSN008,8,False,2024-09-01
SSN009,9,True,2023-05-19
SSN010,10,False,2024-01-03
SSN011,11,False,2023-02-18
SSN012,12,False,2024-04-23
SSN013,13,True,2023-01-29
SSN014,14,True,2024-02-08
SSN015,15,True,2024-03-02
SSN016,16,False,2023-10-21
SSN017,17,True,2023-08-30
SSN018,18,False,2023-02-06
SSN019,19,True,2024-08-10
SSN020,20,False,2024-04-13
SSN021,21,False,2024-11-14
SSN022,22,False,2024-09-12
SSN023,23,False,2024-03-01
SSN024,24,True,2024-06-07
SSN025,25,False,2024-01-24
SSN026,26,True,2023-05-24
SSN027,27,False,2024-02-02
SSN028,28,True,2024-07-03
SSN029,29,True,2024-03-18
SSN030,30,False,2023-04-26
SSN031,31,False,2024-07-22
SSN032,32,False,2024-07-13
SSN033,33,True,2024-03-15
SSN034,34,True,2023-04-20
SSN035,35,True,2024-05-26
SSN036,36,False,2023-12-29
SSN037,37,False,2023-04-23
SSN038,38,False,2024-06-18
SSN039,39,False,2023-02-18
SSN040,40,False,2024-06-20
SSN041,41,False,2024-03-11
SSN042,42,True,2024-01-02
SSN043,43,True,2024-10-20
SSN044,44,True,2024-02-20
SSN045,45,True,2024-05-07
SSN046,46,False,2023-10-23
SSN047,47,False,2024-10-26
SSN048,48,True,2024-08-26
SSN049,49,False,2024-05-11
SSN050,50,False,2024-01-15
SSN051,51,True,2023-08-14
SSN052,52,False,2024-04-11
SSN053,53,True,2024-05-12
SSN054,54,False,2023-12-17
SSN055,55,True,2023-10-22
SSN056,56,True,2024-05-17
SSN057,57,True,2023-11-01
SSN058,58,False,2024-11-15
SSN059,59,False,2024-09-03
SSN060,60,True,2024-10-11
SSN061,61,False,2024-01-04
SSN062,62,True,2023-11-05
SSN063,63,True,2023-11-19
SSN064,64,False,2024-03-25
SSN065,65,False,2023-04-23
SSN066,66,False,2023-12-15
SSN067,67,False,2023-10-21
SSN068,68,True,2024-10-13
SSN069,69,False,2024-12-17
SSN070,70,True,2023-02-02
SSN071,71,False,2023-04-27
SSN072,72,True,2024-11-09
SSN073,73,False,2023-12-08
SSN074,74,True,2024-01-02
SSN075,75,False,2023-06-06
SSN076,76,True,2024-02-08
SSN077,77,False,2024-03-17
SSN078,78,True,2023-06-12
SSN079,79,False,2024-05-07
SSN080,80,False,2024-07-06
SSN081,81,False,2024-02-17
SSN082,82,False,2024-04-30
SSN083,83,True,2024-12-02
SSN084,84,False,2024-03-08
SSN085,85,True,2024-04-01
SSN086,86,False,2023-07-02
SSN087,87,True,2024-08-04
SSN088,88,True,2023-06-02
SSN089,89,True,2024-09-22
SSN090,90,True,2023-05-16
SSN091,91,True,2024-09-18
SSN092,92,True,2023-08-12
SSN093,93,False,2023-07-06
SSN094,94,False,2023-12-14
SSN095,95,False,2023-07-29
SSN096,96,True,2024-05-23
SSN097,97,False,2024-09-24
SSN098,98,True,2024-02-15
SSN099,99,True,2023-11-18
SSN100,100,True,2023-08-06
