ssn,description,fixedDate,isFinished
SSN001,Maintenance task 1,2024-04-13,True
SSN002,Maintenance task 2,2024-09-19,True
SSN003,Maintenance task 3,2024-02-10,False
SSN004,Maintenance task 4,2023-12-24,False
SSN005,Maintenance task 5,2024-06-09,True
SSN006,Maintenance task 6,2023-03-25,True
SSN007,Maintenance task 7,2023-09-20,True
SSN008,Maintenance task 8,2024-05-03,False
SSN009,Maintenance task 9,2024-03-13,True
SSN010,Maintenance task 10,2024-12-11,False
SSN011,Maintenance task 11,2024-03-22,False
SSN012,Maintenance task 12,2024-08-12,True
SSN013,Maintenance task 13,2023-05-01,True
SSN014,Maintenance task 14,2024-05-07,False
SSN015,Maintenance task 15,2024-07-31,False
SSN016,Maintenance task 16,2023-06-17,False
SSN017,Maintenance task 17,2024-07-06,False
SSN018,Maintenance task 18,2023-05-06,False
SSN019,Maintenance task 19,2024-01-29,False
SSN020,Maintenance task 20,2023-09-22,False
SSN021,Maintenance task 21,2024-10-07,True
SSN022,Maintenance task 22,2023-04-06,True
SSN023,Maintenance task 23,2023-07-17,True
SSN024,Maintenance task 24,2023-12-02,True
SSN025,Maintenance task 25,2023-02-07,True
SSN026,Maintenance task 26,2024-08-28,False
SSN027,Maintenance task 27,2023-09-21,True
SSN028,Maintenance task 28,2024-11-07,False
SSN029,Maintenance task 29,2024-07-26,False
SSN030,Maintenance task 30,2024-04-01,True
SSN031,Maintenance task 31,2023-01-17,True
SSN032,Maintenance task 32,2023-08-09,True
SSN033,Maintenance task 33,2024-12-20,False
SSN034,Maintenance task 34,2023-04-22,True
SSN035,Maintenance task 35,2024-07-02,False
SSN036,Maintenance task 36,2023-07-15,True
SSN037,Maintenance task 37,2023-09-06,False
SSN038,Maintenance task 38,2024-09-24,True
SSN039,Maintenance task 39,2023-12-02,True
SSN040,Maintenance task 40,2023-06-12,False
SSN041,Maintenance task 41,2023-01-06,False
SSN042,Maintenance task 42,2024-10-14,True
SSN043,Maintenance task 43,2023-10-26,True
SSN044,Maintenance task 44,2023-12-22,False
SSN045,Maintenance task 45,2024-08-27,False
SSN046,Maintenance task 46,2023-02-28,True
SSN047,Maintenance task 47,2024-12-25,True
SSN048,Maintenance task 48,2023-10-20,True
SSN049,Maintenance task 49,2023-12-28,False
SSN050,Maintenance task 50,2023-03-03,False
SSN051,Maintenance task 51,2024-08-03,False
SSN052,Maintenance task 52,2023-01-30,True
SSN053,Maintenance task 53,2024-06-08,False
SSN054,Maintenance task 54,2024-11-06,True
SSN055,Maintenance task 55,2024-03-08,False
SSN056,Maintenance task 56,2024-05-27,False
SSN057,Maintenance task 57,2024-08-03,True
SSN058,Maintenance task 58,2023-05-28,False
SSN059,Maintenance task 59,2024-03-11,True
SSN060,Maintenance task 60,2024-03-04,False
SSN061,Maintenance task 61,2024-05-14,False
SSN062,Maintenance task 62,2023-03-27,True
SSN063,Maintenance task 63,2023-02-14,False
SSN064,Maintenance task 64,2023-12-22,False
SSN065,Maintenance task 65,2024-09-05,True
SSN066,Maintenance task 66,2023-04-06,True
SSN067,Maintenance task 67,2023-07-30,True
SSN068,Maintenance task 68,2024-01-26,False
SSN069,Maintenance task 69,2023-12-20,False
SSN070,Maintenance task 70,2023-09-24,True
SSN071,Maintenance task 71,2023-09-24,False
SSN072,Maintenance task 72,2023-06-06,True
SSN073,Maintenance task 73,2023-11-11,False
SSN074,Maintenance task 74,2023-06-02,True
SSN075,Maintenance task 75,2023-07-24,True
SSN076,Maintenance task 76,2023-12-07,True
SSN077,Maintenance task 77,2024-04-07,True
SSN078,Maintenance task 78,2024-07-07,True
SSN079,Maintenance task 79,2024-05-16,False
SSN080,Maintenance task 80,2024-03-28,False
SSN081,Maintenance task 81,2023-07-06,False
SSN082,Maintenance task 82,2024-07-30,False
SSN083,Maintenance task 83,2024-06-21,False
SSN084,Maintenance task 84,2023-08-27,True
SSN085,Maintenance task 85,2024-08-22,False
SSN086,Maintenance task 86,2023-07-13,True
SSN087,Maintenance task 87,2024-04-15,True
SSN088,Maintenance task 88,2023-03-18,True
SSN089,Maintenance task 89,2024-09-08,False
SSN090,Maintenance task 90,2024-08-21,True
SSN091,Maintenance task 91,2023-02-15,True
SSN092,Maintenance task 92,2023-05-28,False
SSN093,Maintenance task 93,2023-09-01,True
SSN094,Maintenance task 94,2024-01-01,False
SSN095,Maintenance task 95,2023-12-26,False
SSN096,Maintenance task 96,2024-03-18,False
SSN097,Maintenance task 97,2024-03-04,True
SSN098,Maintenance task 98,2024-02-28,True
SSN099,Maintenance task 99,2024-01-18,True
SSN100,Maintenance task 100,2024-08-06,True
