ssn,applyId,semester,dormId,applyTime,status
SSN001,1,Spring,DORM02,2023-12-10,Approved
SSN002,2,Fall,DORM03,2023-05-27,Rejected
SSN003,3,Fall,DORM04,2023-04-21,Approved
SSN004,4,Fall,DORM05,2024-06-10,Rejected
SSN005,5,Fall,DORM06,2024-01-19,Approved
SSN006,6,Fall,DORM07,2023-11-02,Pending
SSN007,7,Spring,DORM08,2023-10-26,Approved
SSN008,8,Fall,DORM09,2024-06-07,Rejected
SSN009,9,Spring,DORM10,2023-07-08,Approved
SSN010,10,Fall,DORM01,2024-11-12,Rejected
SSN011,11,Spring,DORM02,2024-11-22,Rejected
SSN012,12,Spring,DORM03,2023-02-13,Approved
SSN013,13,Spring,DORM04,2023-09-22,Pending
SSN014,14,Spring,DORM05,2024-02-26,Pending
SSN015,15,Fall,DORM06,2024-04-22,Approved
SSN016,16,Spring,DORM07,2023-05-29,Rejected
SSN017,17,Spring,DORM08,2024-07-01,Pending
SSN018,18,Fall,DORM09,2024-01-21,Pending
SSN019,19,Spring,DORM10,2023-10-22,Approved
SSN020,20,Fall,DORM01,2024-05-01,Approved
SSN021,21,Fall,DORM02,2024-09-05,Rejected
SSN022,22,Fall,DORM03,2023-07-16,Approved
SSN023,23,Fall,DORM04,2024-06-16,Pending
SSN024,24,Spring,DORM05,2024-12-19,Rejected
SSN025,25,Spring,DORM06,2024-04-03,Approved
SSN026,26,Spring,DORM07,2024-08-02,Approved
SSN027,27,Spring,DORM08,2023-10-01,Approved
SSN028,28,Fall,DORM09,2024-08-12,Rejected
SSN029,29,Spring,DORM10,2023-09-17,Pending
SSN030,30,Fall,DORM01,2023-06-23,Pending
SSN031,31,Spring,DORM02,2024-01-07,Rejected
SSN032,32,Fall,DORM03,2024-04-05,Pending
SSN033,33,Spring,DORM04,2023-11-24,Pending
SSN034,34,Fall,DORM05,2023-12-02,Pending
SSN035,35,Spring,DORM06,2024-05-12,Rejected
SSN036,36,Spring,DORM07,2023-05-05,Approved
SSN037,37,Fall,DORM08,2023-08-24,Approved
SSN038,38,Fall,DORM09,2024-07-14,Pending
SSN039,39,Fall,DORM10,2023-01-23,Rejected
SSN040,40,Fall,DORM01,2024-11-08,Approved
SSN041,41,Fall,DORM02,2024-03-13,Rejected
SSN042,42,Spring,DORM03,2024-07-14,Rejected
SSN043,43,Spring,DORM04,2023-04-30,Approved
SSN044,44,Fall,DORM05,2023-05-11,Rejected
SSN045,45,Spring,DORM06,2024-04-04,Rejected
SSN046,46,Fall,DORM07,2024-02-29,Rejected
SSN047,47,Spring,DORM08,2023-03-30,Pending
SSN048,48,Spring,DORM09,2023-05-18,Rejected
SSN049,49,Spring,DORM10,2023-08-28,Pending
SSN050,50,Fall,DORM01,2023-09-23,Approved
SSN051,51,Spring,DORM02,2024-10-20,Pending
SSN052,52,Fall,DORM03,2024-09-02,Pending
SSN053,53,Spring,DORM04,2023-12-23,Rejected
SSN054,54,Fall,DORM05,2024-03-30,Rejected
SSN055,55,Fall,DORM06,2023-11-01,Approved
SSN056,56,Fall,DORM07,2023-05-17,Rejected
SSN057,57,Spring,DORM08,2023-06-29,Approved
SSN058,58,Fall,DORM09,2024-11-04,Pending
SSN059,59,Spring,DORM10,2024-10-15,Pending
SSN060,60,Spring,DORM01,2023-05-05,Approved
SSN061,61,Fall,DORM02,2024-05-10,Approved
SSN062,62,Fall,DORM03,2023-06-26,Approved
SSN063,63,Spring,DORM04,2024-10-25,Rejected
SSN064,64,Fall,DORM05,2023-11-23,Pending
SSN065,65,Spring,DORM06,2023-09-09,Pending
SSN066,66,Spring,DORM07,2024-04-16,Rejected
SSN067,67,Fall,DORM08,2023-07-06,Pending
SSN068,68,Fall,DORM09,2024-06-30,Approved
SSN069,69,Fall,DORM10,2024-11-25,Approved
SSN070,70,Fall,DORM01,2024-10-20,Approved
SSN071,71,Spring,DORM02,2023-04-05,Rejected
SSN072,72,Fall,DORM03,2024-05-26,Rejected
SSN073,73,Spring,DORM04,2023-04-18,Pending
SSN074,74,Spring,DORM05,2024-10-09,Pending
SSN075,75,Spring,DORM06,2024-12-19,Pending
SSN076,76,Fall,DORM07,2023-03-05,Approved
SSN077,77,Spring,DORM08,2024-09-15,Pending
SSN078,78,Spring,DORM09,2023-04-10,Approved
SSN079,79,Fall,DORM10,2023-01-27,Rejected
SSN080,80,Spring,DORM01,2024-08-03,Rejected
SSN081,81,Fall,DORM02,2023-12-29,Rejected
SSN082,82,Fall,DORM03,2024-03-18,Approved
SSN083,83,Fall,DORM04,2024-10-01,Rejected
SSN084,84,Spring,DORM05,2024-12-14,Pending
SSN085,85,Fall,DORM06,2024-02-29,Pending
SSN086,86,Fall,DORM07,2023-10-04,Rejected
SSN087,87,Spring,DORM08,2023-09-05,Approved
SSN088,88,Spring,DORM09,2023-08-06,Rejected
SSN089,89,Fall,DORM10,2023-07-23,Rejected
SSN090,90,Spring,DORM01,2024-05-03,Pending
SSN091,91,Spring,DORM02,2023-12-29,Pending
SSN092,92,Fall,DORM03,2024-05-28,Pending
SSN093,93,Spring,DORM04,2024-07-12,Approved
SSN094,94,Spring,DORM05,2024-10-12,Pending
SSN095,95,Spring,DORM06,2024-01-14,Approved
SSN096,96,Fall,DORM07,2024-11-21,Rejected
SSN097,97,Spring,DORM08,2023-02-25,Pending
SSN098,98,Fall,DORM09,2024-04-09,Pending
SSN099,99,Spring,DORM10,2023-01-14,Approved
SSN100,100,Fall,DORM01,2024-05-11,Approved
