ssn,bId,moveInDate,moveOutDate
$2b$12$./QH26UwLk7G0rwWJIGEeOiGVDNfnscvOVprbbCbRri6evAGvKogi,BED001,2022-02-22,2023-04-16
$2b$12$oTZs7DsC2WDMHHXwfcw.BuYL.NfAaRUY8YznFsQvxtA4pKhXpBRvG,BED002,2022-03-19,2023-10-16
$2b$12$A.ILgIKp3RuAU4ZJTTbNRe285NCYnsxZPshyUiZgAo6vPwE9DQDs6,BED003,2022-03-14,2023-01-06
$2b$12$UUu.E/vo/BtrkE.3afi/GuZlO0xhQQcm1b6ZDRFiWUxzXu1nu7rl.,BED004,2022-06-01,2023-07-05
$2b$12$umSoT3D8TCydVqZGMypH6e37XQqEefwXFfVSSD55b.f0utABCQpky,BED005,2022-02-21,2024-06-03
$2b$12$ZQDUgWGmrAkyZVzjXKFkyu2uqa22pRcXmn1HXL/h.NgEvL6R5WCw.,BED006,2022-08-22,2024-08-06
$2b$12$llLtuiVteCBwvym/hLBN0eDp2cWdHsuZyxirVkHb3c7z9IdLpwu3u,BED007,2022-05-24,2023-04-12
$2b$12$cVML/3xSNMeUo3OjtjhNQu9ltwj4HJ9hshLukmSUDIFiW37n21xby,BED008,2022-05-27,2023-08-25
$2b$12$1xgaTL/RmMfd.NIFJiV7CuKDMusvvImufSNJrHed1PiAdXJ7d5MS6,BED009,2022-11-14,2024-07-05
$2b$12$CkFSobxrsfcb9BAC8TAuu.tQatZKn3.G7JZD9fINboLM70/De3QUa,BED010,2022-03-18,2023-07-13
$2b$12$E67AuhTQfx5OlKLJEEihfeg0zMiWmfef1hJa4FphfwCqFKk4A8.Sm,BED011,2022-06-02,2024-05-08
$2b$12$RX9gKSnN4hs72o3TW.1yXedB9Jf1WBdDjgsMhp3KUaTj2XWNp6GVK,BED012,2022-05-23,2023-06-13
$2b$12$GFuQ92gnTknyAeRNE./PXumRaE7DJ01xtQUs.gjRCm9WuBOcTlsrq,BED013,2022-10-30,2023-09-24
$2b$12$0j5ay511CsKlGEvEc9tG6uVE12LwGsbVDxjF/xzyGMNpU5tg2SqKe,BED014,2022-09-21,2023-02-21
$2b$12$yOlrMa7ftscx9CyOcpaLUOkUFMtNgZhgl1t2Ee6APrfT8i7WagoKy,BED015,2022-10-28,2024-11-17
$2b$12$Oy1wmNg0M7ZyI0rBo5PyBeHuu/Koa2RDXhnIo1.GiTTIEQ9YjhZme,BED016,2022-01-20,2024-09-16
$2b$12$R1/SdKFJydyJ47MFYa3n0OIT2PFtfqSvZqiZOQCQPediHesWQhGay,BED017,2022-06-14,2024-04-04
$2b$12$xGc0.IwrRHvXBnw9Liu/Me/cKMC2mCVd/AsbmTv2TBLmJQjoX6GdO,BED018,2022-05-19,2024-06-13
$2b$12$pYP6yPY1eh1ETBK3WfvCYuaviP5O26DwrMSrbge9oNdowWsyILYsC,BED019,2022-07-28,2024-07-29
$2b$12$6lFxSL.LhW3VV4Eaicd27eqG/v1dbRxYyiY7BV5uJxcB0ALK.C0uq,BED020,2022-06-20,2023-07-27
$2b$12$VxnqMWxz7MP.iBcpNauE3umTJpE6bTaxWg4C5DwzMEbhIN1fqrC2K,BED021,2022-11-30,2024-03-29
$2b$12$nMtlb.vixacJOKm5BV0ZxueCnvk2mjsQRApIpr1eyo8x4SkKZ967.,BED022,2022-08-27,2024-05-18
$2b$12$Smka0sY4zOtVhHlzl4ZrsOvAhRPQKshcLxD725QYJOhmSpumnGKGW,BED023,2022-04-19,2023-02-13
$2b$12$ntUQ5xmH1MX2R5XhFox8eukKm6Y0tSzAql//ji7Igc7o7zb.bFAfG,BED024,2022-01-08,2023-10-27
$2b$12$ZXHHF4Ux2/8Lo5VCiwDGMOWras.mOoMA2F1OiG9rNmvRm9ZHwRQf2,BED025,2022-09-01,2023-03-23
$2b$12$z9nCWLQ3ZOwARYcnZrmR1emgx.gjVElUy61.Zy1ru.gn5D0R75C8G,BED026,2022-10-02,2024-06-14
$2b$12$acp84VcTZ/dmfGM/13GoeehrG47ylYpDF/eKnM.5vcG5lWcHMgsOK,BED027,2022-01-18,2023-07-06
$2b$12$6RYtjej3UZ29y.IF2jS7QOvEMpTGWYOHQzqpd12u/rpHdRTsAm03O,BED028,2022-06-16,2023-06-08
$2b$12$tmLOun/cpQ5SOGwZuSoCy.fWZPSYDWGW0H517oPosur/ZkK2o082W,BED029,2022-07-16,2023-01-14
$2b$12$BnV.7C.wN.pzpW8pA1WLe.p7vdJZ3eWg6rw8RoFj5LJ2tJ5W.wyvq,BED030,2022-02-02,2023-03-10
$2b$12$XNAkIOLpjc/C0zn71JE64ec8QVwhVexZt48GeVcMgpQrMfP/9jwL6,BED031,2022-10-13,2024-06-25
$2b$12$3i/Fhv36zTqPIPY5bmjImukU/mEwdAkFLE5zmpZEiSnOcFfQlh3ru,BED032,2022-07-15,2023-04-19
$2b$12$kPoaQ6DkKE7vW.H5maevWetZ2/5BNpHcXmw5vsuIsPSym3/2mdfAS,BED033,2022-03-06,2024-01-14
$2b$12$fnOZJpp2hgpOhOTgquc5QOn3/98LBusc7Ppyjz4Xtkj8a.4.mRmwa,BED034,2022-07-13,2024-02-29
$2b$12$wiJp6LOfKF.Sya5hJCmBse83nJZHgh9qKZAxqmH5KaVFvV0fbGOpS,BED035,2022-12-14,2023-02-16
