ssn,semester,dormId,sName
SSN001,Spring,DORM02,Snack2
SSN002,Fall,DORM03,Snack3
SSN003,Spring,DORM04,Snack4
SSN004,Spring,DORM05,Snack5
SSN005,Fall,DORM06,Snack6
SSN006,Fall,DORM07,Snack7
SSN007,Fall,DORM08,Snack8
SSN008,Fall,DORM09,Snack9
SSN009,Fall,DORM10,Snack10
SSN010,Spring,DORM01,Snack11
SSN011,Fall,DORM02,Snack12
SSN012,Spring,DORM03,Snack13
SSN013,Fall,DORM04,Snack14
SSN014,Spring,DORM05,Snack15
SSN015,Spring,DORM06,Snack16
SSN016,Fall,DORM07,Snack17
SSN017,Spring,DORM08,Snack18
SSN018,Fall,DORM09,Snack19
SSN019,Spring,DORM10,Snack20
SSN020,Fall,DORM01,Snack1
SSN021,Spring,DORM02,Snack2
SSN022,Spring,DORM03,Snack3
SSN023,Fall,DORM04,Snack4
SSN024,Fall,DORM05,Snack5
SSN025,Spring,DORM06,Snack6
SSN026,Spring,DORM07,Snack7
SSN027,Fall,DORM08,Snack8
SSN028,Fall,DORM09,Snack9
SSN029,Fall,DORM10,Snack10
SSN030,Fall,DORM01,Snack11
SSN031,Fall,DORM02,Snack12
SSN032,Fall,DORM03,Snack13
SSN033,Fall,DORM04,Snack14
SSN034,Fall,DORM05,Snack15
SSN035,Fall,DORM06,Snack16
SSN036,Fall,DORM07,Snack17
SSN037,Spring,DORM08,Snack18
SSN038,Spring,DORM09,Snack19
SSN039,Fall,DORM10,Snack20
SSN040,Fall,DORM01,Snack1
SSN041,Spring,DORM02,Snack2
SSN042,Fall,DORM03,Snack3
SSN043,Spring,DORM04,Snack4
SSN044,Spring,DORM05,Snack5
SSN045,Spring,DORM06,Snack6
SSN046,Spring,DORM07,Snack7
SSN047,Fall,DORM08,Snack8
SSN048,Fall,DORM09,Snack9
SSN049,Spring,DORM10,Snack10
SSN050,Fall,DORM01,Snack11
SSN051,Spring,DORM02,Snack12
SSN052,Spring,DORM03,Snack13
SSN053,Spring,DORM04,Snack14
SSN054,Fall,DORM05,Snack15
SSN055,Fall,DORM06,Snack16
SSN056,Fall,DORM07,Snack17
SSN057,Spring,DORM08,Snack18
SSN058,Spring,DORM09,Snack19
SSN059,Fall,DORM10,Snack20
SSN060,Fall,DORM01,Snack1
SSN061,Spring,DORM02,Snack2
SSN062,Spring,DORM03,Snack3
SSN063,Spring,DORM04,Snack4
SSN064,Fall,DORM05,Snack5
SSN065,Spring,DORM06,Snack6
SSN066,Spring,DORM07,Snack7
SSN067,Fall,DORM08,Snack8
SSN068,Spring,DORM09,Snack9
SSN069,Fall,DORM10,Snack10
SSN070,Spring,DORM01,Snack11
SSN071,Fall,DORM02,Snack12
SSN072,Fall,DORM03,Snack13
SSN073,Fall,DORM04,Snack14
SSN074,Spring,DORM05,Snack15
SSN075,Fall,DORM06,Snack16
SSN076,Fall,DORM07,Snack17
SSN077,Fall,DORM08,Snack18
SSN078,Spring,DORM09,Snack19
SSN079,Fall,DORM10,Snack20
SSN080,Spring,DORM01,Snack1
SSN081,Fall,DORM02,Snack2
SSN082,Spring,DORM03,Snack3
SSN083,Fall,DORM04,Snack4
SSN084,Fall,DORM05,Snack5
SSN085,Fall,DORM06,Snack6
SSN086,Spring,DORM07,Snack7
SSN087,Fall,DORM08,Snack8
SSN088,Spring,DORM09,Snack9
SSN089,Fall,DORM10,Snack10
SSN090,Spring,DORM01,Snack11
SSN091,Spring,DORM02,Snack12
SSN092,Spring,DORM03,Snack13
SSN093,Spring,DORM04,Snack14
SSN094,Fall,DORM05,Snack15
SSN095,Fall,DORM06,Snack16
SSN096,Fall,DORM07,Snack17
SSN097,Spring,DORM08,Snack18
SSN098,Spring,DORM09,Snack19
SSN099,Fall,DORM10,Snack20
SSN100,Spring,DORM01,Snack1
