ssn,semester,dormId
SSN001,Fall,DORM02
SSN002,Spring,DORM03
SSN003,Fall,DORM04
SSN004,Fall,DORM05
SSN005,Spring,DORM06
SSN006,Spring,DORM07
SSN007,Fall,DORM08
SSN008,Spring,DORM09
SSN009,Fall,DORM10
SSN010,Fall,DORM01
SSN011,Fall,DORM02
SSN012,Fall,DORM03
SSN013,Spring,DORM04
SSN014,Fall,DORM05
SSN015,Spring,DORM06
SSN016,Fall,DORM07
SSN017,Fall,DORM08
SSN018,Fall,DORM09
SSN019,Fall,DORM10
SSN020,Fall,DORM01
SSN021,Fall,DORM02
SSN022,Fall,DORM03
SSN023,Fall,DORM04
SSN024,Fall,DORM05
SSN025,Fall,DORM06
SSN026,Spring,DORM07
SSN027,Fall,DORM08
SSN028,Fall,DORM09
SSN029,Fall,DORM10
SSN030,Spring,DORM01
SSN031,Fall,DORM02
SSN032,Fall,DORM03
SSN033,Spring,DORM04
SSN034,Fall,DORM05
SSN035,Fall,DORM06
SSN036,Spring,DORM07
SSN037,Spring,DORM08
SSN038,Spring,DORM09
SSN039,Spring,DORM10
SSN040,Spring,DORM01
SSN041,Spring,DORM02
SSN042,Fall,DORM03
SSN043,Spring,DORM04
SSN044,Spring,DORM05
SSN045,Spring,DORM06
SSN046,Fall,DORM07
SSN047,Spring,DORM08
SSN048,Spring,DORM09
SSN049,Spring,DORM10
SSN050,Spring,DORM01
SSN051,Fall,DORM02
SSN052,Spring,DORM03
SSN053,Spring,DORM04
SSN054,Spring,DORM05
SSN055,Spring,DORM06
SSN056,Fall,DORM07
SSN057,Fall,DORM08
SSN058,Spring,DORM09
SSN059,Spring,DORM10
SSN060,Fall,DORM01
SSN061,Fall,DORM02
SSN062,Spring,DORM03
SSN063,Fall,DORM04
SSN064,Spring,DORM05
SSN065,Fall,DORM06
SSN066,Fall,DORM07
SSN067,Fall,DORM08
SSN068,Fall,DORM09
SSN069,Spring,DORM10
SSN070,Fall,DORM01
SSN071,Fall,DORM02
SSN072,Spring,DORM03
SSN073,Fall,DORM04
SSN074,Spring,DORM05
SSN075,Spring,DORM06
SSN076,Spring,DORM07
SSN077,Fall,DORM08
SSN078,Spring,DORM09
SSN079,Fall,DORM10
SSN080,Fall,DORM01
SSN081,Spring,DORM02
SSN082,Spring,DORM03
SSN083,Spring,DORM04
SSN084,Spring,DORM05
SSN085,Fall,DORM06
SSN086,Spring,DORM07
SSN087,Spring,DORM08
SSN088,Fall,DORM09
SSN089,Spring,DORM10
SSN090,Spring,DORM01
SSN091,Spring,DORM02
SSN092,Fall,DORM03
SSN093,Spring,DORM04
SSN094,Fall,DORM05
SSN095,Spring,DORM06
SSN096,Fall,DORM07
SSN097,Spring,DORM08
SSN098,Fall,DORM09
SSN099,Spring,DORM10
SSN100,Fall,DORM01
