ssn,username,studentId,bId,phone,email,dormId,due_date,sessionToken
$2b$12$KUlIA63Imuyfb6kHBXyMIO.cV2OdJfdxCmdxli8vzSDrr8jF.8oze,user1,r18485388,BED001,095421167041,user1@example.com,DORM02,2024-03-10,session-553223-6011
$2b$12$rF/FutgtHaZHVlGIZneez.PY4VGKeFlB5ave6KCPeuUGfofXuZNEm,user2,r64204289,BED002,099642190525,user2@example.com,DORM03,2023-04-19,session-197494-8130
$2b$12$kXkvNQ9Rdr98swJs83pLT.UrRv3RtsEB80TROtXv3D3OCjqrfhq2W,user3,b50958229,BED003,094940789923,user3@example.com,DORM04,2024-05-22,session-971234-4368
$2b$12$F0fngjrcFuu2XBxi0wqgXOwah/YhvZq7F9QCjFmaJmjM5OcCxrcJe,user4,r63352847,BED004,094112353724,user4@example.com,DORM05,2023-03-30,session-494295-9129
$2b$12$/bBh54/Xz9wTweYZ85YSm.P9xIdOCYysdvV3ePcgW8XRlmV7g0r8y,user5,b93675901,BED005,092950422241,user5@example.com,DORM06,2023-05-21,session-477006-3446
$2b$12$bs.OS4urPNSMTq1Y4sqZ4uocDxsKjxf1SKksTQeYpbOqc0Ni6zC0e,user6,r19025045,BED006,095486265968,user6@example.com,DORM07,2023-03-30,session-685875-5689
$2b$12$0PKYg.IgDRrNzP5N3JTFvOl3.zJ1i7XYNDLo9WrUKfaUJiL.89Qqq,user7,b20894710,BED007,099523724116,user7@example.com,DORM08,2024-09-04,session-901982-7889
$2b$12$By5AuAeZSIk6rhZuipOHy.4VKipPxVdTqIqgMiLpFL3v5OhDKcQsG,user8,b57041175,BED008,097812787575,user8@example.com,DORM09,2023-12-10,session-115669-3580
$2b$12$qEt2X/ATQ4NUk/qRFsWSQeQv.PO5XDhgDXrmXr1MP59ES9TN7Cln.,user9,b30213860,BED009,095376851223,user9@example.com,DORM10,2023-10-15,session-899299-7858
$2b$12$rx9fPuzcBHkK.XjCdr7Wfe3N.wnwTnR3xNfEVriWLcfWiV2J8VK2e,user10,b65188268,BED010,096313652198,user10@example.com,DORM01,2023-07-31,session-360309-3427
$2b$12$kpB31zrGSynmZwP7GEr60.Vc9veW18.s5XdKs0NH6ixCJM5sFZNTy,user11,r61025644,BED011,099415182365,user11@example.com,DORM02,2023-10-28,session-991968-4652
$2b$12$sAQlIcWrUYgXs1gLRlMR2em.OnQN261kvCPducAecjF1Ogl4cYn3.,user12,r33411899,BED012,095287690448,user12@example.com,DORM03,2024-08-05,session-307133-7762
$2b$12$HFbqgVbD02pkWmOLuPSLGuj8.84lCO83lhm3xnwnRkzp9uALXhUGy,user13,b20116857,BED013,091118696393,user13@example.com,DORM04,2023-12-08,session-141802-9663
$2b$12$TRGkIm8IlgIERJBzJ1T2U.sWWs/pGvUIZ9qyKn3Rmha6eTw3v3OwG,user14,b00982501,BED014,093346813559,user14@example.com,DORM05,2023-04-14,session-870557-2818
$2b$12$9jrYS1nHHLQpn0DgXA7TVOK1CR5mJVPfMq8yvp77fy9Oh9fR5htxC,user15,r11742529,BED015,092290113937,user15@example.com,DORM06,2023-11-30,session-900789-1223
$2b$12$NCHkUxFBow.JaMTILzmZe.ZTq28hEyLr1chCnn18cYHPfsuX2VJlS,user16,b14709954,BED016,093351219911,user16@example.com,DORM07,2023-05-10,session-826455-1874
$2b$12$Ok0.CXgDL4JvWino1wnOs.4HZXzBrgdGuBLIXWKmBMw.4BvdEh.1m,user17,r40407889,BED017,094913591654,user17@example.com,DORM08,2024-03-05,session-219876-9946
$2b$12$9dzGdrj.uEH7EMDlrsZzH.IHI/WyuZACyhScSmD3fV32SOM9ZmY2K,user18,b97235710,BED018,099301724672,user18@example.com,DORM09,2024-02-09,session-637830-1518
$2b$12$FcMFGj0ZMaYnNSjEW8vrf.YDix1yKc725QPxGx8HWhmYYNuyI/k1i,user19,r97231903,BED019,091365329032,user19@example.com,DORM10,2023-02-05,session-587981-1175
$2b$12$8/346NcmMkNgtYPa/8ACm.DsMt7YqLpnpPhtnDVgRdpZx7MXbQyPK,user20,r66508676,BED020,092314047516,user20@example.com,DORM01,2024-10-13,session-787987-2451
$2b$12$F.hAUb4lJ2az25R4W15lAeLRkrFaYV21VcDuaP7aHRfZB.Ap57Ym2,user21,r89802588,BED021,094366287734,user21@example.com,DORM02,2024-04-13,session-329952-3962
$2b$12$pI5l5oO3/Cz1PnMjdjMNfuETpDpRUPF4U1gRrJndqZVH60IQPkCvm,user22,r02673256,BED022,097207927546,user22@example.com,DORM03,2023-10-12,session-220811-2650
$2b$12$6lJV0EgAcieT/UCcgIrG2.cTPjLZc5pLSMrYzzZugQkUcMJmRE/cG,user23,r27264045,BED023,091227618191,user23@example.com,DORM04,2023-10-12,session-274354-7343
$2b$12$9.22xYkt42Bz6BgSL4llh.k0snZQGq3KElz882oUsmaNmayPqI7QK,user24,r99166495,BED024,091016032630,user24@example.com,DORM05,2024-04-13,session-818612-1427
$2b$12$Zs6PXxmpX0zahCOg9EH2hexvGVUjtosqKAbSsA7KTIrHjPjd9cx7i,user25,r58266871,BED025,097584430841,user25@example.com,DORM06,2023-12-26,session-766572-5746
$2b$12$GGJUQIQNfNAbUmdVVnDOhepTaT/rZzPde/YAzH9U7w9o.pvD00pHe,user26,r66273927,BED026,098734862793,user26@example.com,DORM07,2023-08-02,session-282628-2950
$2b$12$8ljQNxdydWF2rY/3wJ0eWudlhjIGhoNB8NrH48j1k8/D8G7JWuqDW,user27,b02385330,BED027,094405571184,user27@example.com,DORM08,2023-08-16,session-743103-5407
$2b$12$eswmg2klvoztvJem4BkOOekWM8eVeRkKzOJlmYeZxbdQ5QubFFd8.,user28,b33384139,BED028,096470635938,user28@example.com,DORM09,2024-04-19,session-210673-3863
$2b$12$KUmJxnV1GHboFXMnDbeB5.9MZW73DsNl6OWBVKOpQ9Oyto.3JZUjC,user29,b24500956,BED029,095999529543,user29@example.com,DORM10,2024-10-31,session-935414-8814
$2b$12$OAP3nNC7htDG8z0F1hgGBueruDRBxGmkL7X1cU5AhfmfQdx0/Eu1G,user30,b47452412,BED030,097640493538,user30@example.com,DORM01,2023-10-07,session-432643-6181
$2b$12$/uZV0q/6WBwBonWZU9///.4p8QXcHtK9XH2mrOybNmdvWSurzZoca,user31,r63407244,BED031,098529176453,user31@example.com,DORM02,2024-05-29,session-470950-6190
$2b$12$qsBlciuTatF23HZhwa2NueNFPp7r01mBowErQ6jZPRBNarPESrgrO,user32,r20546714,BED032,095016294782,user32@example.com,DORM03,2024-07-21,session-709978-4865
$2b$12$pknOlVHvgih.maxWOMKV0.1vmwLtcUmTpXc8FM3UWu2TdNTcV6e8i,user33,b62330209,BED033,094978865395,user33@example.com,DORM04,2023-11-06,session-650471-9593
$2b$12$RDzEtDC0wG3j/sm0BcgI6Orzzbze5OqqzfAUk9mtT6QffKJuk926a,user34,r88830239,BED034,092337988486,user34@example.com,DORM05,2023-03-15,session-339591-9411
$2b$12$IHo.5itn6snz3Y3TAGte6u/XaFIKyRQjVKzKuQtUD610gW25qW.p.,user35,r17854627,BED035,096061398284,user35@example.com,DORM06,2024-05-22,session-898876-4856
$2b$12$PgDjNBzBthyFAfHnjWk60OYH4UtG5xGV7siGNQrrbN36kfWuMJTDO,user36,r52509248,BED036,092085232991,user36@example.com,DORM07,2023-12-10,session-300388-5882
$2b$12$yoKDx/gUXdQBn8p.l/fyP./QmerBzycMb.XKGD55UXeXbsp/KOvRK,user37,r08031158,BED037,098791562802,user37@example.com,DORM08,2024-09-12,session-763020-7807
$2b$12$IUN8jyl1YyEPvVMtzwngf.bVPvWthxGXiTUsDbSS9/IbnqGZbbtYC,user38,b75211865,BED038,092603772767,user38@example.com,DORM09,2023-06-25,session-805473-9791
$2b$12$UhGSv8HHHuRMKfh8MJE8UuZm.n7MX/5uc2gQk537nogFk53.kXKlu,user39,b17867363,BED039,094564485905,user39@example.com,DORM10,2023-02-07,session-415105-8224
$2b$12$UEEuDwTvwIn9YkU3C5F54ukS/cnp8YNc/QMVSVIbiVcpy6oos14q2,user40,b34315693,BED040,095059374446,user40@example.com,DORM01,2024-03-24,session-870872-7235
$2b$12$s4UIaB7PtUVWYq.nQ/STiuNFBiRtY2G6NZTlCfE4dhiOgy4ZuPLcG,user41,r19340584,BED041,092987964879,user41@example.com,DORM02,2024-10-13,session-760716-7065
$2b$12$v4G6NfLTHQ0F0MDPEA/sFusV8lQNOuAbhliyjKOO.PR/k2yXDxfSy,user42,b95993072,BED042,091557231607,user42@example.com,DORM03,2023-02-26,session-409883-3642
$2b$12$rKwQEv/bPgxmXwvYJQAx/OeTlgtMTPiwMqc7PxBH1g3wxDcS8Ybou,user43,b58918473,BED043,098939300443,user43@example.com,DORM04,2023-02-02,session-294519-9459
$2b$12$gQWZV3jMQbMmH/oSNtJ9Oul87MI3cPgQZ8kojpfB9AOeBZ7MosyIW,user44,b09405106,BED044,091622211609,user44@example.com,DORM05,2024-06-06,session-247553-5414
$2b$12$hLN2fVjwSWfT8GIw/U5dPOYhpD9qHPgXdJ5b8IILricEQ4qYS4F7m,user45,b66376514,BED045,096408137457,user45@example.com,DORM06,2024-02-19,session-756861-6465
$2b$12$maslxGZBQ4.wzW/XejK0hO0jmrQpLvDuablSyVLbEaM8ab0lSlGsW,user46,b60679241,BED046,095067531390,user46@example.com,DORM07,2024-01-22,session-283965-1476
$2b$12$sex8Q82J0ehqfRUrPH1rvOBQGRXrf6zy.9agFd7mgpCdDmTrm4Xai,user47,b36486183,BED047,099363560417,user47@example.com,DORM08,2024-05-26,session-220242-5832
$2b$12$GXelHTTX1BQSyzfsJoOZyO0LPEtcqc1nJjqipFlZfzR41wcS7Vnu2,user48,r84808454,BED048,097563838439,user48@example.com,DORM09,2024-10-24,session-338154-1860
$2b$12$Ji5SkeRAzwQVMcAIuBzsbOT3M3dnAW0CIMC/yXq0TbBjS.f1EBHFy,user49,r42874704,BED049,098965649815,user49@example.com,DORM10,2024-09-28,session-482030-1021
$2b$12$u70epmHR5uBuxiUX5TygQugsyI.9JsapToSrch0yhE2f4/82rKnta,user50,b41859224,BED050,096656659668,user50@example.com,DORM01,2024-04-13,session-548003-1885
$2b$12$F8QOdVG4pzwWAF9XD3huzOBzjfV8fSACeBkXsMqjyLzzZK1j2mHK6,user51,r52137951,BED051,095905345573,user51@example.com,DORM02,2023-09-12,session-332838-5240
$2b$12$tvvz6gNC/rdcNhXK0.I.lexrKdfpZkiVl0vP/SROWI8BqcmXbRfQm,user52,b66165286,BED052,095011346258,user52@example.com,DORM03,2024-04-14,session-891643-6490
$2b$12$3lp3MDqU9vmSNOeUz6znlujX/ZDFNHIfwL7T8Zl4zNC9C2h0aHis.,user53,b36710250,BED053,094027471606,user53@example.com,DORM04,2024-01-25,session-608135-3751
$2b$12$YxRjLtjPXdOj0PC1tbXbL.xOrOUKjao2u2Rx5n8eOtLQVuk4xMK8m,user54,b55615033,BED054,093807762089,user54@example.com,DORM05,2023-01-04,session-158018-4032
$2b$12$172WLgkh9JDGpzIpUYSOEu5ar3p33KTFo.feJntGuuKEFn4ucK.Ta,user55,r78335638,BED055,092633677651,user55@example.com,DORM06,2023-11-23,session-715422-4150
$2b$12$B6SQuYRO4OOaG0yWbkJXoOLwO3mAq.OGiBSv9gbQGS3WL1v0bWRWG,user56,r26656042,BED056,099970409522,user56@example.com,DORM07,2024-01-16,session-676285-9959
$2b$12$ut40iMy8jy/LJY9513vy8edPzBKP0rtkNvuZnAYcgCrT8aKR9EvRu,user57,b43080275,BED057,096472614746,user57@example.com,DORM08,2023-02-10,session-582406-3254
$2b$12$GCaRArvpz1rCEtxsUqMR6ubjQq6U8jVN..TL2KMNqio70BmzidjYy,user58,r68824921,BED058,097245991785,user58@example.com,DORM09,2023-07-05,session-483580-1997
