b_id,dorm_id,ssn,password,room_number
BED-341,DORM-434165674,$2b$12$NK.rvr3wwJEpnGx7GMIBKusr6XwPrekXpOtGGdkbX1mFTzNTb9gje,$2b$12$Hqn9WahxZ1mNT/PLqb1SM.n5kHr2a8T8TNfE1sDMYmwJVGasMpbRS,ROOM-40
BED-406,DORM-54885208,$2b$12$lAxfgt2Lz7R5iyw1oTOqRuOgZtCoXJdBsreLrm39uLED6AZiqaE3K,$2b$12$nu.6lK1yw2GkuVNR/28gCefodiCIjwbXBzzYLNXp6FjX68VWjxB6a,ROOM-29
BED-131,DORM-187741565,$2b$12$p3gnjZo2SZlMHSojbNiU6uTjriGFsPt66r1jxw5TuiEPdDo264Gq6,$2b$12$kGFEO856r8luewhLID434OBynJGzos4QmdJmzvXcLvfOtaEq5t2jy,ROOM-64
BED-412,DORM-488494446,$2b$12$L/nD2jRYQJfxO83zIb8QCOxRceTWMvmjfluSvDcWmII1QwNEjLsLm,$2b$12$CjlaRg9CL8G.LsaRNB61nO87kErt.FPGJOzvrYZTPXEskiYHFDhXa,ROOM-84
BED-513,DORM-624999065,$2b$12$CXLHtWkq0Z1FiaUJ92Oz9.4lT7HfJrRoYp.QKg6QSit7w.RbeB7PW,$2b$12$WlBlEcF4hlrcz7.jJwxbEOcgviTOd.TXMZ4HjdeadZPKU3h1QPkX.,ROOM-85
BED-290,DORM-517016535,$2b$12$PHRAqgXWKBfoVdlVsxo.OuWoqn.V98g0rogBnGTWppzM8WhIHzqO.,$2b$12$E3dwZaXfYDqrbzskb6yI9eNtlgHAvT7Hu1Souo6CF6g9AMHFg8Cwu,ROOM-49
BED-772,DORM-03386998,$2b$12$CDIHUA7qSqsy8e681qlnmeFFIo9O48xEjohjiV8FEeayxSon3d3IK,$2b$12$AHmpQP1o4QRCDyTDZM21WuxIyrMwkOp7XIg5SCvlEtiJgeOt5soYS,ROOM-38
BED-841,DORM-864036870,$2b$12$UW5JUpq3g8CXl6MbMdQ9Y.Ogqe3NZgtLeLdnEn.5X/49JZweOjGW.,$2b$12$oIqvS9kinhvlrtj49hfKne7Rs6Nb0L2zGjZJ.m5TjG2ExLw6tub4O,ROOM-71
BED-104,DORM-199169524,$2b$12$GqNLYuu6ZwjBcDu7hv8h4OoyGD.YxPhwiXL/HBxlYa/5Pa9R82N0W,$2b$12$cU1eqZfZDDr/6mpOGBH8veBmIn89y.RzJMARgQFx8jaiDEY0I0a9K,ROOM-59
BED-571,DORM-651660076,$2b$12$i3m0Hz90gHdPqMTne5jYmupJcod8pf8R0MdAuL32rOvkakPnattbu,$2b$12$1U50vUHM56Lj.FR4qf7/NebAX6VINdYHbeMQJ7nBlTZNm.Z8JmxQC,ROOM-47
