ssn,username,password,student_id,b_id,phone,email,dorm_id,due_date
$2b$12$Odsj9zti61E6g2P/jYodzuLvjVC0/8DHS9eLETkcq0GJx88rFZEBW,ochoachristina,$2b$12$zI0qMXgsXLIHna9ZatTtO.70OqMP.hAcr8bd.NXkZcQBGTUrvrK2m,b49377460,BED-273,09142843934,rhonda09@example.net,DORM-251408905,2024-12-06
$2b$12$S.KtsTNTbVu6gMCOcEjgMuyUZsk/nEU03v09dbl2Ik0pJfZzQg1j2,angela19,$2b$12$MfjT9/lL7WpB6W8Pfl0hG.B5pbI1m2v4dAuyfxVThsX2NfpvIwLN6,b92001657,BED-909,09894524050,johnsontina@example.net,DORM-87739677,2024-12-06
$2b$12$3mkRgi5OmN3tSMScNqtKdepq7wNOSopqLiJb9sA.dMhcmWomkC1jK,oburch,$2b$12$MsfG5hBoEKXWipUyuhGsdOJk0O2sxafONIrNd6C9L53d9D3PawbFi,b96586366,BED-724,09528526116,vjuarez@example.net,DORM-668469086,2024-12-06
$2b$12$4oJEqswUc7yxdkXmHglBiOS3sp5EWo8/gBsnmbpX.G2cfQVVg0eNO,qwillis,$2b$12$JbWJcknhi.OZ1X6RrKRZ0eQVNgZfIazFmfzS9qAKcCZP5zOzpTJpO,b38899313,BED-902,09486740126,ryangreer@example.com,DORM-61495396,2024-12-06
$2b$12$kSLwB0uN9u/Rl1zq9qLBY.kghySgOttDDr3DhxF7Y1nAohemmP4fy,johnwilliams,$2b$12$iMvxhq0QJ6RB5.5nw/qo..tuvBqDbRPg8GBj5hzbqjG7MgQMxNlCS,b86024976,BED-119,09675737276,jsnyder@example.com,DORM-88972798,2024-12-06
$2b$12$mb7PgyFa/.jYv/Ntz399mu3oP7C6Ij0hxHalNzdUViNInNEOC4NCu,gdean,$2b$12$xOLlL6d7cvr/HMWBB.Fyde7IhUJyIqZcU/jc7hUJCcF4IFUgHAf5m,r88702930,BED-665,09106381669,griffithmary@example.com,DORM-83311320,2024-12-06
$2b$12$ZofFryB/1sk8yocHNpoAlunoDxDc9wlBjjwvMsOFyjr1V.xEHEvfG,julie64,$2b$12$kzHqeN7q16Kq9s/1MnUBp.nhp5eDMxtAEd4Ph/lPye4MgNienT88K,b46364024,BED-702,09725487862,amandarollins@example.org,DORM-30584774,2024-12-06
$2b$12$wGwuyAkQ44/GgRH.txj4HOdcIumxdCkYNcjORz2IW4W0YbAY92PDG,nguyenregina,$2b$12$4dnO0WIvDHo4KG3fefQyx.QqEOTGxL8Prc019ukRuKLN6w3p6xnoq,b69271228,BED-571,09472749386,fneal@example.net,DORM-045436532,2024-12-06
$2b$12$zOZb64D3On16ubT7mCh.PekdbOEgNmvMt2WxcDzepvZ3udr1iFM26,taylordanielle,$2b$12$zvl6aFdYgZLqFUlNHC1UNueeWNHzouhe6q..gqwzEx84VqtJu03uO,r68579005,BED-640,09765305043,pamelamorales@example.org,DORM-61061966,2024-12-06
$2b$12$kiLOiM5wb7f3ndExaea1leJGvrjDeVw1PRa1tKo8LLdA3sPa7ENx2,zkelley,$2b$12$MJ5eaC2JOLidFufxCVc//.Ha6H84KjcaIGyz7IFl.bOGYkEJ/j/rq,r43231219,BED-995,09269991038,jenniferjones@example.org,DORM-51037161,2024-12-06
$2b$12$AH0DbbyeYjFaiMcfhOANOOPL4JkD.q4GwhO3faT5aV4BUms5kHXRO,tyler26,$2b$12$muMd04BLGGIGaPvrdsdxfuEnnIkenTXieMPwpMlHADSQh/rfEJ4K6,r14231175,BED-127,09264348034,colemaneddie@example.org,DORM-97870399,2024-12-06
$2b$12$J7Us6w5Z16Y9yIB2sVZFuukNnjmjbN23p.ef3ZXaFq6rOSw5xKN5m,vguzman,$2b$12$d4OCDLByIpitkvIz2K3KxuXbqXQb6BzrZIcf3q9Jce.RJIFkxjEhu,b14622916,BED-518,09282024406,jacobsonjeffrey@example.com,DORM-08118113,2024-12-06
$2b$12$CV9hrbEzo13R9jcF5.sqzeQNPHIt88nmvDeIGiV8wamuDNDJph5LC,jasmine30,$2b$12$.jFPwkgsO/0ba8n4kwjl6.1334C34szFmYkaytcDJC7uYxgPmcLqC,b88011896,BED-772,09942258519,matthewfields@example.org,DORM-528200896,2024-12-06
$2b$12$u88guyTA74nna.le63oCwujWZhCKSc9qOR2YOtUa9MNqEc6oH/2/q,turnerangela,$2b$12$tMGdf5zEwaKIn0a.rJTX6.Rl6ODiXR.UEp/Og0AXXgwdMP9Ng1fAW,b24824516,BED-349,09567909185,erica40@example.org,DORM-221082654,2024-12-06
$2b$12$dgTeHsQrJw4LyZqJ2zBwC.DdDggG82sIgimVtwuljzPrYoNpPvgne,rdominguez,$2b$12$cPYytk0MEIPVe.ltGRQliu4tUyPPxM.U3kl9jyORKYyDgmiajEdKG,r78076898,BED-938,09150167135,andrew41@example.com,DORM-18719282,2024-12-06
$2b$12$kjg8WMhtf4HLffYL83//Keef7O/ItmSADX4Qh78GrdZrqZxKvxrUe,mking,$2b$12$qhFsVcCq8GbAHvOqYTvQ4uMmdE4Y2HSELJV/XNYRO8uDwJQrd/xDq,r10962161,BED-312,09613045091,sandersshelby@example.net,DORM-39980091,2024-12-06
$2b$12$ZHd3Q5eoTfayC4NQ2wMv4epU8QWhyijsncr4qXHz0n1DswuARipr.,jharris,$2b$12$Xxhc79K7cHDv82pTOriWm.TS/OLQOsbqSk.Hs.SI.S6A7bMPg9e76,r32115481,BED-564,09294884829,briansmith@example.com,DORM-088368958,2024-12-06
$2b$12$fBNZRXIYebMcPU6MUfmhNekKJ79IsJgELm.KzLmiibZI34mRKamle,bglover,$2b$12$L0bap3DPXNVXjso6FcG1NOY9IvbXhigXeWTwsJvzRoQ4ofR0L6XJC,b50464711,BED-722,09508595861,qsimon@example.net,DORM-988034633,2024-12-06
$2b$12$yeLocS9tM0nZIzCtPWTH5eNVAMN9PB4gMdSYX.sqBsJHIF3WJd5Oy,jonathancarroll,$2b$12$6GUk0OBzCGzV7rLzXHeQ1Ovh8T9g8rvVKyrg3QvTKYRCWYpQumMri,r52228410,BED-786,09233521686,joanne63@example.com,DORM-00684173,2024-12-06
$2b$12$cpeu8pHP8JK1sFcqWQOrD.FuycG0XH87ZjxfIkpSOZ0ztvZPAvPwK,dillonkatie,$2b$12$0cAwgOH6TFzmWLWsHcKPv.gzZ.eFMuZM2ZARUP5KqJX0Vwq5MqxN6,r74984770,BED-919,09864651597,tmaldonado@example.com,DORM-678717514,2024-12-06
$2b$12$qDaoExrRqH1hO4VGSbrEOeJb0LJKT6Z5FokOqL.9iXxVArN6VMF4S,rschaefer,$2b$12$kBGJobZA2k4O7.wuwBFiieSQN14zampQnuhaOwZkBPc6PkEVTRe7.,r57452517,BED-824,09207476154,amy25@example.com,DORM-873762380,2024-12-06
$2b$12$xG3TpL4snpp0kfqLRSjtD.fvlKpM2qzuy.m1/SQ4ua6KZmAiUiy2u,saracarlson,$2b$12$uhHn9v01G11row0.M/jyser5QHtuQqy/1O4o66rROzIpK1Ez39wHm,b47232674,BED-737,09579520144,dvazquez@example.net,DORM-447245931,2024-12-06
$2b$12$PJjZ.PTe.XmQARMq8YY3uOTlk6Q4fFp1S4jqXNNm0P0dJOhth.zze,awoods,$2b$12$s4IAuQsC69SJzVrGpIOTkezW3f31Lp1b2uV/EiHoj6ikmWAmdDab.,r10319373,BED-377,09555145241,frivera@example.com,DORM-77994873,2024-12-06
$2b$12$lsGk9b.CsRYDvbSTb7gZr.0DW2POo1jiSMqkH4DnKEhcz13plgC6C,mgraham,$2b$12$GRac3UHRjq8C4I6H3wDvwuBru4di7Tvz3thCWDIt4kfq14Z19jE7C,r37304482,BED-388,09938687499,walter11@example.com,DORM-741280511,2024-12-06
$2b$12$mdbC8IbkQehDAxx9/XTiEOimlyJu4P.XEIyFSHyCfaSuNTf8UIA.C,jeremy99,$2b$12$.HuylGXPvf8LiMAy6crD3ecIxSD.EJcaDB5a.ZuRK8BwdxdwnimmG,b61192499,BED-697,09921862545,reedkelly@example.org,DORM-190755641,2024-12-06
